rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Missing security headers,MEDIUM,Site-Wide Security,Medium,2-5 days,6,10,yes,trust,"Three standard security headers are absent, weakening protection against common attacks.","3 of 6 standard security headers are absent, which weakens protection against XSS, clickjacking and downgrade attacks.",notes: Add the missing headers at the CDN or web-server layer; HSTS and X-Content-Type-Options are one-line changes.,"Measured on the live origin: missing X-Frame-Options, Referrer-Policy, Permissions-Policy.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_1_missing_security_headers.html
2,Multiple competing primary CTAs,MEDIUM,Homepage,Medium,2-5 days,5,10,no,conversion,"Homepage has seven different CTAs, making the next step ambiguous and diluting conversion focus.","The homepage presents several distinct calls to action that point users down different paths, making the next step ambiguous.",cta: One dominant primary CTA; notes: Reduce to one dominant primary CTA and relegate secondary actions.,ctas: CHECK COVERAGE | CHECK IF IT WORKS AT MY ADDRESS | SEE MY OPTIONS | GET STARTED | START CHAT | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE,"Funnel Path, Form & Interaction Friction",0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_2_multiple_competing_primary_ctas.html
3,Coverage check appears twice,MEDIUM,Homepage,Low,0.5-2 days,5,10,no,conversion,"The same coverage-check action is labeled differently across pages, potentially causing users to restart the journey.","The funnel repeats the same coverage-check action with different labels, potentially causing users to restart the journey.",cta: One consistent coverage-check label; notes: Use one consistent label and ensure it always advances to the same next step.,ctas: CHECK COVERAGE | ctas: CHECK MY COVERAGE | ctas: CHECK COVERAGE | Watch on | SEE WHAT I QUALIFY FOR | START CHAT | CHECK MY COVERAGE,"Funnel Path, Form & Interaction Friction",0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_3_coverage_check_appears_twice.html
4,Trust badges not evidenced,MEDIUM,Homepage,Medium,2-5 days,5,10,no,trust,"Claims like 'As Featured In' lack supporting logos or badges, reducing credibility.","The pages reference being 'As Featured In' and 'America's Largest Wireless Internet Provider' but no logos, press mentions, or verification badges appear in the digest to support these credibility claims.","notes: Display recognizable press logos, partner badges, or third-party verification seals adjacent to these claims.",h2: As Featured In: | h2: Join America's Largest Wireless Internet Provider Featuring,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_4_trust_badges_not_evidenced.html
5,Weak page metadata,MEDIUM,Site-Wide Seo,Medium,2-5 days,5,10,yes,traffic,"Meta description and Open Graph tags are missing or too short, degrading search and social previews.","Search and social previews are degraded: meta description, Open Graph tags are missing or outside recommended lengths.",notes: Write a 15-60 char title and 70-160 char description per page; add og:title and og:image for link previews.,"Measured on the homepage: title 17 chars (15-60 recommended); description 0 chars (70-160 recommended); og:title missing, og:image missing.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_5_weak_page_metadata.html
6,No reviews near pricing,HIGH,Pricing & Plans,Low,0.5-2 days,4,10,no,trust,"Social proof heading exists but no review content appears near pricing, reducing trust at the decision point.",The homepage and plans pages display prices and CTAs but the only social proof heading is 'Real Stories from Real Users' with no review content visible in the digest near the pricing sections.,"notes: Place customer review excerpts, ratings, or testimonial snippets directly adjacent to pricing blocks and coverage CTAs.",h2: Real Stories from Real Users | prices: $99.95/month $129.95/month $99.95/Mo $99.95/month $129.95/month $99.95,Trust & Social Proof,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_6_no_reviews_near_pricing.html
7,Duplicate pricing pages compete,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,traffic,"Two URLs expose the same plans content, splitting traffic and confusing the funnel.","Two separate URLs expose the same plans content, creating competing entry points that can split traffic and confuse the funnel.",notes: Consolidate to a single canonical plans URL and redirect the duplicate.,PAGE /pages/plans | PAGE /plans | h2: The Fastest Rural & On-the-Go Internet in the USA | prices: $99.95/month $129.95/month $99.95/mo $0.00 $99.95 $99.99,Funnel Path,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_7_duplicate_pricing_pages_compete.html
8,Multiple duplicate forms,MEDIUM,All Crawled Pages,Medium,2-5 days,3,10,no,conversion,"Two identical forms with CONTINUE appear on each page, creating redundant interaction and confusion.","The same coverage-check form appears twice on each page, both submitting with CONTINUE, which can confuse visitors about which form to use and create redundant interaction.",cta: CONTINUE; notes: Consolidate into a single form per page.,form: submit=CONTINUE (field extraction is unreliable on this site — raw HTML carries 5 field(s); do not claim fields or labels are missing) | form: submit=CONTINUE (field extraction is unreliable on this site — raw HTML carries 5 field(s); do not claim fields or labels are missing),Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_8_multiple_duplicate_forms.html
9,Guarantee signal absent,MEDIUM,/Pages/Rural-Internet,Low,0.5-2 days,3,10,no,trust,"Heading 'SHOP WITH CONFIDENCE' lacks supporting guarantee text, weakening the trust signal.","The rural-internet page includes 'SHOP WITH CONFIDENCE' but no accompanying guarantee, return, or warranty text is captured in the page digest to substantiate that confidence signal.","notes: Add explicit guarantee, return policy, or satisfaction promise copy under the heading.",h2: SHOP WITH CONFIDENCE | ctas: CHECK COVERAGE | Watch on | SEE WHAT I QUALIFY FOR | START CHAT | CHECK MY COVERAGE,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_9_guarantee_signal_absent.html
10,Images missing alt text,MEDIUM,Accessibility,Low,0.5-2 days,2,10,yes,traffic,"13 images lack alt attributes, hurting accessibility and image search traffic.","13 of 125 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","notes: Add descriptive alt text; use alt="""" only for decorative images.",Measured on the live homepage: 13 of 125 <img> elements have no alt attribute.,Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_images_missing_alt_text.html
